rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
166,frame_0313.jpg,125.2,0.4029,0.6184,0.2857,0.04,2,2,False,False
167,frame_0118.jpg,47.2,0.401,0.4546,0.2857,0.44,5,2,False,False
168,frame_0097.jpg,38.8,0.4009,0.5983,0.2857,0.08,6,2,False,False
169,frame_0196.jpg,78.4,0.3994,0.4833,0.2857,0.36,2,2,False,False
170,frame_0002.jpg,0.8,0.3987,0.3116,0.1429,1.0,6,1,False,False
171,frame_0225.jpg,90.0,0.3976,0.5918,0.2857,0.08,5,2,False,False
172,frame_0013.jpg,5.2,0.3955,0.3052,0.1429,1.0,3,1,False,False
173,frame_0218.jpg,87.2,0.3954,0.4753,0.2857,0.36,3,2,False,False
174,frame_0276.jpg,110.4,0.3941,0.435,0.4286,0.24,8,3,False,False
175,frame_0280.jpg,112.0,0.3911,0.4507,0.2857,0.4,6,2,False,False
176,frame_0033.jpg,13.2,0.3903,0.2948,0.1429,1.0,5,1,False,False
177,frame_0109.jpg,43.6,0.3876,0.5718,0.2857,0.08,5,2,False,False
178,frame_0283.jpg,113.2,0.3873,0.4808,0.1429,0.52,7,1,False,False
179,frame_0114.jpg,45.6,0.3866,0.4041,0.4286,0.28,5,3,False,False
180,frame_0388.jpg,155.2,0.3823,0.4434,0.4286,0.16,8,3,False,False
181,frame_0010.jpg,4.0,0.3803,0.3606,0.0,1.0,2,0,False,False
182,frame_0333.jpg,133.2,0.3795,0.5556,0.2857,0.08,7,2,False,False
183,frame_0223.jpg,89.2,0.3748,0.5141,0.2857,0.16,6,2,False,False
184,frame_0110.jpg,44.0,0.3729,0.5263,0.2857,0.12,3,2,False,False
185,frame_0176.jpg,70.4,0.3726,0.4777,0.2857,0.24,8,2,False,False
186,frame_0115.jpg,46.0,0.3717,0.444,0.2857,0.32,6,2,False,False
187,frame_0298.jpg,119.2,0.3706,0.4314,0.1429,0.56,4,1,False,False
188,frame_0183.jpg,73.2,0.3687,0.6356,0.1429,0.04,4,1,False,False
189,frame_0082.jpg,32.8,0.3678,0.3778,0.1429,0.68,3,1,False,False
190,frame_0101.jpg,40.4,0.3654,0.6987,0.0,0.08,2,0,False,False
191,frame_0179.jpg,71.6,0.363,0.5065,0.2857,0.12,3,2,False,False
192,frame_0328.jpg,131.2,0.3627,0.522,0.2857,0.08,11,2,False,False
193,frame_0371.jpg,148.4,0.3613,0.4335,0.4286,0.08,6,3,False,False
194,frame_0325.jpg,130.0,0.3609,0.4486,0.4286,0.04,5,3,False,False
195,frame_0318.jpg,127.2,0.3606,0.4538,0.2857,0.24,8,2,False,False
196,frame_0316.jpg,126.4,0.3605,0.4856,0.2857,0.16,7,2,False,False
197,frame_0025.jpg,10.0,0.3604,0.3208,0.0,1.0,2,0,False,False
198,frame_0181.jpg,72.4,0.3581,0.4431,0.4286,0.04,6,3,False,False
199,frame_0090.jpg,36.0,0.3573,0.3991,0.2857,0.36,6,2,False,False
200,frame_0277.jpg,110.8,0.3547,0.5117,0.1429,0.28,7,1,False,False
201,frame_0322.jpg,128.8,0.3515,0.3818,0.4286,0.16,6,3,False,False
202,frame_0180.jpg,72.0,0.3496,0.4101,0.4286,0.08,6,3,False,False
203,frame_0394.jpg,157.6,0.3477,0.4062,0.4286,0.08,4,3,False,False
204,frame_0211.jpg,84.4,0.3473,0.3528,0.1429,0.64,2,1,False,False
205,frame_0086.jpg,34.4,0.3461,0.3128,0.2857,0.52,4,2,False,False
206,frame_0269.jpg,107.6,0.3441,0.5008,0.2857,0.04,4,2,False,False
207,frame_0281.jpg,112.4,0.3437,0.4257,0.1429,0.44,6,1,False,False
208,frame_0383.jpg,153.2,0.3434,0.3816,0.4286,0.12,6,3,False,False
209,frame_0205.jpg,82.0,0.3416,0.3094,0.1429,0.72,1,1,False,False
210,frame_0274.jpg,109.6,0.3406,0.4457,0.2857,0.16,7,2,False,False
211,frame_0191.jpg,76.4,0.3397,0.444,0.2857,0.16,5,2,False,False
212,frame_0177.jpg,70.8,0.335,0.3329,0.4286,0.2,5,3,False,False
213,frame_0214.jpg,85.6,0.3313,0.2832,0.2857,0.52,3,2,False,False
214,frame_0315.jpg,126.0,0.3313,0.3574,0.4286,0.12,6,3,False,False
215,frame_0195.jpg,78.0,0.328,0.4422,0.1429,0.32,4,1,False,False
216,frame_0219.jpg,87.6,0.3242,0.349,0.2857,0.32,2,2,False,False
217,frame_0190.jpg,76.0,0.3234,0.5987,0.0,0.12,3,0,False,False
218,frame_0372.jpg,148.8,0.3211,0.4228,0.2857,0.12,6,2,False,False
219,frame_0268.jpg,107.2,0.3206,0.4377,0.2857,0.08,4,2,False,False
220,frame_0307.jpg,122.8,0.3192,0.3869,0.2857,0.2,5,2,False,False
221,frame_0323.jpg,129.2,0.3191,0.5044,0.1429,0.12,2,1,False,False
222,frame_0178.jpg,71.2,0.3185,0.4872,0.1429,0.16,4,1,False,False
223,frame_0206.jpg,82.4,0.3143,0.2388,0.1429,0.76,3,1,False,False
224,frame_0228.jpg,91.2,0.3061,0.4247,0.2857,0.04,3,2,False,False
225,frame_0302.jpg,120.8,0.3007,0.4413,0.0,0.4,5,0,False,False
226,frame_0309.jpg,123.6,0.3006,0.4674,0.1429,0.12,5,1,False,False
227,frame_0311.jpg,124.4,0.3005,0.4993,0.1429,0.04,4,1,False,False
228,frame_0172.jpg,68.8,0.2994,0.2673,0.2857,0.4,6,2,False,False
229,frame_0119.jpg,47.6,0.2955,0.2275,0.2857,0.48,5,2,False,False
230,frame_0310.jpg,124.0,0.2951,0.4725,0.1429,0.08,4,1,False,False
231,frame_0233.jpg,93.2,0.294,0.3205,0.2857,0.24,6,2,False,False
232,frame_0370.jpg,148.0,0.2938,0.4858,0.1429,0.04,4,1,False,False
233,frame_0272.jpg,108.8,0.2937,0.4697,0.1429,0.08,4,1,False,False
234,frame_0229.jpg,91.6,0.2921,0.3808,0.2857,0.08,6,2,False,False
235,frame_0381.jpg,152.4,0.2886,0.4755,0.1429,0.04,3,1,False,False
236,frame_0200.jpg,80.0,0.2857,0.2776,0.1429,0.52,2,1,False,False
237,frame_0111.jpg,44.4,0.2849,0.4201,0.1429,0.16,5,1,False,False
238,frame_0373.jpg,149.2,0.2842,0.4186,0.1429,0.16,8,1,False,False
239,frame_0085.jpg,34.0,0.2823,0.3407,0.0,0.56,3,0,False,False
240,frame_0104.jpg,41.6,0.2721,0.4105,0.1429,0.12,5,1,False,False
241,frame_0267.jpg,106.8,0.2715,0.4092,0.1429,0.12,4,1,False,False
242,frame_0189.jpg,75.6,0.2696,0.4215,0.1429,0.08,6,1,False,False
243,frame_0022.jpg,8.8,0.266,0.1319,0.0,1.0,3,0,False,False
244,frame_0216.jpg,86.4,0.254,0.3319,0.0,0.44,3,0,False,False
245,frame_0393.jpg,157.2,0.2519,0.3164,0.2857,0.04,4,2,False,False
246,frame_0092.jpg,36.8,0.249,0.3003,0.1429,0.28,5,1,False,False
247,frame_0093.jpg,37.2,0.2402,0.2987,0.1429,0.24,3,1,False,False
248,frame_0224.jpg,89.6,0.2357,0.4235,0.0,0.12,4,0,False,False
249,frame_0382.jpg,152.8,0.2345,0.3513,0.1429,0.08,4,1,False,False
250,frame_0102.jpg,40.8,0.2081,0.2824,0.1429,0.12,5,1,False,False
251,frame_0204.jpg,81.6,0.2059,0.1398,0.0,0.68,2,0,False,False
252,frame_0324.jpg,129.6,0.2027,0.2877,0.1429,0.08,4,1,False,False
253,frame_0197.jpg,78.8,0.2009,0.2418,0.0,0.4,1,0,False,False
254,frame_0212.jpg,84.8,0.192,0.1439,0.0,0.6,3,0,False,False
255,frame_0271.jpg,108.4,0.173,0.3299,0.0,0.04,3,0,False,False
256,frame_0100.jpg,40.0,0.0894,0.1628,0.0,0.04,4,0,False,False
